session,Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,session_order
FP1,BEA,87,Haas F1 Team,10.0,104.702,26.788,31.14,46.774,280.0,272.0,273.0,259.0,MEDIUM,10.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,11.0,96.31,24.751,29.323,42.236,305.0,251.0,243.0,293.0,MEDIUM,11.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,12.0,112.121,30.877,35.897,45.347,195.0,224.0,270.0,320.0,MEDIUM,12.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,13.0,97.796,26.169,29.575,42.052,270.0,255.0,266.0,301.0,MEDIUM,13.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,14.0,97.254,25.862,29.373,42.019,273.0,260.0,274.0,301.0,MEDIUM,14.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,15.0,97.331,25.622,29.463,42.246,272.0,258.0,268.0,300.0,MEDIUM,15.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,16.0,97.826,25.917,29.616,42.293,274.0,255.0,273.0,304.0,MEDIUM,16.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,17.0,97.74,25.739,29.379,42.622,275.0,254.0,262.0,295.0,MEDIUM,17.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,18.0,103.213,26.237,29.742,47.234,275.0,259.0,,302.0,MEDIUM,18.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,21.0,94.512,25.136,28.248,41.128,273.0,277.0,262.0,312.0,SOFT,2.0,True,True,1,1
FP1,BEA,87,Haas F1 Team,23.0,111.189,28.584,34.506,48.099,278.0,275.0,277.0,249.0,SOFT,4.0,True,False,1,1
FP1,BEA,87,Haas F1 Team,24.0,94.426,24.937,28.381,41.108,274.0,272.0,258.0,309.0,SOFT,5.0,True,True,1,1
FP1,BEA,87,Haas F1 Team,25.0,142.589,38.019,40.191,64.379,161.0,213.0,177.0,166.0,SOFT,6.0,True,False,1,1
FP1,BEA,87,Haas F1 Team,26.0,138.804,42.328,34.728,61.748,181.0,254.0,46.0,245.0,SOFT,7.0,True,False,1,1
FP1,BEA,87,Haas F1 Team,28.0,140.653,58.684,30.202,51.767,268.0,261.0,,222.0,SOFT,9.0,True,False,1,1
FP1,BOR,5,Audi,2.0,100.29,26.847,30.631,42.812,280.0,260.0,274.0,310.0,MEDIUM,2.0,True,True,21,1
FP1,BOR,5,Audi,3.0,127.891,32.096,36.128,59.667,208.0,249.0,267.0,255.0,MEDIUM,3.0,True,False,1,1
FP1,BOR,5,Audi,4.0,114.577,25.462,38.241,50.874,290.0,255.0,108.0,253.0,MEDIUM,4.0,True,False,16,1
FP1,BOR,5,Audi,5.0,138.262,47.299,36.02,54.943,186.0,241.0,267.0,250.0,MEDIUM,5.0,True,False,671,1
FP1,BOR,5,Audi,6.0,97.743,25.5,29.82,42.423,291.0,283.0,249.0,318.0,MEDIUM,6.0,True,True,12,1
FP1,BOR,5,Audi,7.0,143.758,35.834,42.927,64.997,147.0,209.0,253.0,153.0,MEDIUM,7.0,True,False,26,1
FP1,BOR,5,Audi,8.0,128.507,31.677,36.535,60.295,192.0,251.0,271.0,256.0,MEDIUM,8.0,True,False,671,1
FP1,BOR,5,Audi,9.0,103.362,25.534,29.496,48.332,290.0,284.0,,315.0,MEDIUM,9.0,True,False,1,1
FP1,BOR,5,Audi,11.0,107.68,27.643,31.571,48.466,267.0,256.0,272.0,255.0,MEDIUM,11.0,False,False,1,1
FP1,BOR,5,Audi,12.0,96.232,25.288,29.313,41.631,291.0,282.0,255.0,320.0,MEDIUM,12.0,False,True,1,1
FP1,BOR,5,Audi,13.0,127.761,31.561,37.726,58.474,199.0,253.0,253.0,179.0,MEDIUM,13.0,False,False,1,1
