Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,PitInTime_s,PitOutTime_s
ALO,14,Aston Martin,7.0,99.59,25.861,30.603,43.126,289.0,260.0,273.0,318.0,HARD,7.0,True,False,1,,
ALO,14,Aston Martin,8.0,99.283,25.717,30.327,43.239,266.0,259.0,270.0,297.0,HARD,8.0,True,False,1,,
ALO,14,Aston Martin,9.0,99.335,25.911,30.401,43.023,267.0,258.0,267.0,301.0,HARD,9.0,True,False,1,,
ALO,14,Aston Martin,10.0,99.474,26.054,30.468,42.952,265.0,257.0,266.0,300.0,HARD,10.0,True,False,1,,
ALO,14,Aston Martin,11.0,99.887,26.135,30.471,43.281,266.0,258.0,266.0,298.0,HARD,11.0,True,False,1,,
ALO,14,Aston Martin,12.0,99.739,26.117,30.331,43.291,267.0,260.0,267.0,301.0,HARD,12.0,True,False,1,,
ALO,14,Aston Martin,13.0,118.719,26.484,35.185,57.05,266.0,203.0,182.0,261.0,HARD,13.0,True,False,124,,
ALO,14,Aston Martin,14.0,134.307,36.662,40.991,56.654,223.0,218.0,229.0,226.0,HARD,14.0,True,False,4,,
ALO,14,Aston Martin,15.0,143.265,35.424,41.672,66.169,225.0,258.0,172.0,225.0,HARD,15.0,True,False,4,,
ALO,14,Aston Martin,16.0,135.334,36.297,39.132,59.905,235.0,148.0,267.0,242.0,HARD,16.0,True,False,41,,
ALO,14,Aston Martin,17.0,100.719,26.244,30.851,43.624,284.0,260.0,272.0,320.0,HARD,17.0,True,False,1,,
ALO,14,Aston Martin,18.0,100.369,25.663,30.993,43.713,269.0,262.0,275.0,320.0,HARD,18.0,True,False,1,,
ALO,14,Aston Martin,19.0,98.487,25.589,30.453,42.445,265.0,260.0,266.0,314.0,HARD,19.0,True,True,1,,
LEC,16,Ferrari,1.0,,,29.905,42.75,289.0,263.0,278.0,305.0,MEDIUM,5.0,False,False,12,,
LEC,16,Ferrari,2.0,97.665,26.088,29.358,42.219,276.0,267.0,275.0,311.0,MEDIUM,6.0,False,True,1,,
LEC,16,Ferrari,3.0,97.536,26.158,29.288,42.09,273.0,270.0,278.0,315.0,MEDIUM,7.0,False,True,1,,
LEC,16,Ferrari,4.0,98.072,25.732,29.807,42.533,277.0,266.0,275.0,318.0,MEDIUM,8.0,False,False,1,,
LEC,16,Ferrari,5.0,97.029,25.598,29.17,42.261,280.0,270.0,278.0,316.0,MEDIUM,9.0,False,True,1,,
LEC,16,Ferrari,6.0,97.535,25.896,29.283,42.356,278.0,269.0,257.0,326.0,MEDIUM,10.0,False,False,1,,
LEC,16,Ferrari,7.0,97.367,26.004,29.244,42.119,283.0,270.0,279.0,322.0,MEDIUM,11.0,False,False,1,,
LEC,16,Ferrari,8.0,96.946,25.615,29.186,42.145,267.0,265.0,241.0,314.0,MEDIUM,12.0,False,True,1,,
LEC,16,Ferrari,9.0,98.507,26.659,29.651,42.197,268.0,259.0,274.0,305.0,MEDIUM,13.0,False,False,1,,
LEC,16,Ferrari,10.0,97.402,25.695,29.27,42.437,269.0,262.0,273.0,295.0,MEDIUM,14.0,False,False,1,,
LEC,16,Ferrari,11.0,97.497,25.565,29.271,42.661,274.0,264.0,269.0,292.0,MEDIUM,15.0,False,False,1,,
LEC,16,Ferrari,12.0,97.828,25.775,29.229,42.824,278.0,267.0,274.0,293.0,MEDIUM,16.0,False,False,1,,
